Наименование,Средняя доходность,Максимальная доходность,Дней до выплаты дивидендов,Дней после выплаты дивидендов
AGRO-гдр, 1.188544, 1.565500,28,28
ETLN-гдр, 1.081784, 1.117256,26,30
FIVE-гдр, 1.174292, 1.435583,29,28
iQIWI, 1.252720, 1.588507,27,25
Polymetal, 1.198954, 1.625981,32,30
Акрон, 1.181302, 2.017260,31,29
АЛРОСА ао, 1.125225, 1.293373,30,27
Аэрофлот, 1.108318, 1.307252,32,31
БашИнСв ап, 1.090707, 1.222091,25,28
Башнефт ао, 1.126340, 1.288995,30,27
Башнефт ап, 1.127489, 1.330021,24,33
Белуга ао, 1.199799, 1.361209,27,26
БСП ао, 1.070236, 1.382056,28,29
ВСМПО-АВСМ, 1.073763, 1.149347,36,29
ВТБ ао, 1.054549, 1.287438,23,21
Газпрнефть, 1.102785, 1.276519,26,27
ГАЗПРОМ ао, 1.067044, 1.178959,31,31
ГМКНорНик, 1.157372, 1.454360,30,27
ДетскийМир, 1.124799, 1.319063,31,31
ИнтерРАОао, 1.191335, 1.618608,32,27
ИркЭнерго, 1.053967, 1.098697,27,16
КАМАЗ, 1.181589, 1.361151,29,32
Красэсб ао, 1.195889, 1.484022,36,19
КузнецкийБ, 1.337767, 1.733901,35,19
Левенгук, 1.028921, 1.035417,33,14
Лензол. ап, 1.274393, 1.643981,31,28
Лензолото, 1.562960, 1.856873,39,35
Ленэнерго, 1.101433, 1.252532,21,21
Ленэнерг-п, 1.171345, 1.513653,34,21
ЛСР ао, 1.197468, 1.535060,39,26
ЛУКОЙЛ, 1.141586, 1.422549,32,34
Магнит ао, 1.172633, 1.461151,31,29
М.видео, 1.087771, 1.241526,29,27
МГТС-4ап, 1.107581, 1.435673,27,20
МГТС-5ао, 1.158580, 1.607030,36,25
Мечел ао, 1.016167, 1.088311,21,23
Мечел ап, 1.173337, 2.061134,35,23
МКБ ао, 1.043085, 1.043085,26,24
ММК, 1.148873, 1.314907,28,29
МосБиржа, 1.160235, 1.285172,32,33
Мостотрест, 1.126992, 1.435772,27,22
+МосЭнерго, 1.073730, 1.215758,27,28
МОЭСК, 1.089678, 1.223073,28,31
МРСК СЗ, 1.240244, 1.435958,25,33
МРСК СК, 1.150665, 1.263561,21,24
МРСК Ур, 1.156560, 1.580861,28,25
МРСК Центр, 1.140434, 1.438770,23,24
МРСК ЦП, 1.189727, 1.856568,29,24
МРСКВол, 1.261939, 1.764027,26,29
МРСКСиб, 1.152119, 1.342059,27,14
МРСКЮга ао, 1.337920, 1.496047,38,28
МТС-ао, 1.097386, 1.250150,28,32
НКНХ ао, 1.143036, 1.374251,38,22
НКНХ ап, 1.188831, 1.708539,38,21
НКХП ао, 1.060796, 1.483159,28,22
НЛМК ао, 1.154131, 1.463032,28,28
НМТП ао, 1.246972, 1.989702,32,26
Новатэк ао, 1.169520, 1.324481,33,29
ОГК-2 ао, 1.153421, 1.504176,28,26
ОР ао, 1.218959, 1.362015,30,16
ОргСинт ао, 1.154163, 1.399809,36,26
ОргСинт ап, 1.202271, 1.973447,29,20
ПИК ао, 1.304744, 1.793431,37,28
Полюс, 1.204467, 1.373444,28,32
Распадская, 1.189771, 1.527873,34,20
Роснефть, 1.115727, 1.301570,33,27
Россети ао, 1.253058, 1.627875,26,38
Россети ап, 1.338377, 2.494533,28,33
Ростел -ао, 1.094320, 1.291101,26,22
Ростел -ап, 1.101336, 1.276081,29,28
РусГидро, 1.109233, 1.323741,26,31
СаратНПЗ-п, 1.226419, 1.701899,31,24
САФМАР ао, 1.238595, 1.369362,33,17
Сбербанк, 1.129689, 1.219048,26,25
Сбербанк-п, 1.111491, 1.219397,27,26
СевСт-ао, 1.178611, 1.484023,30,30
Селигдар, 1.469236, 2.367547,33,31
Селигдар-п, 1.140984, 1.291842,37,22
Система ао, 1.151432, 1.385848,27,24
СОЛЛЕРС, 1.168018, 1.276606,25,37
Сургнфгз, 1.052524, 1.140216,23,30
Сургнфгз-п, 1.082150, 1.246074,31,35
Татнфт 3ао, 1.155076, 1.324727,28,31
Татнфт 3ап, 1.149280, 1.353875,33,33
Таттел. ао, 1.075887, 1.257391,33,19
ТГК-1, 1.110640, 1.582595,24,28
Телеграф, 1.163132, 1.348169,21,25
Телеграф-п, 1.266171, 2.206036,25,24
ТМК ао, 1.140699, 1.468165,28,29
Транснф ап, 1.133344, 1.287378,26,26
ФосАгро ао, 1.135261, 1.493722,27,28
ФСК ЕЭС ао, 1.158350, 1.448367,27,28
Химпром ап, 1.187910, 1.484113,31,27
ЧеркизГ-ао, 1.148692, 1.518012,35,24
ЧТПЗ ао, 1.213235, 1.606456,41,27
ЭнелРос ао, 1.094036, 1.357536,37,24
Юнипро ао, 1.000712, 1.180434,33,27
