AREA_GROUP,ADDRESS,ROOM,BUY_AREA,RENT_AREA,SALE_PRICE,RENT,ALT_RENT
3,Мурановская ул. 19,3,65.2,65,11300000,50000,50154
2,Боровское ш. 2к5,1,46.2,43,11300000,37000,39753
1,Кусковская ул. 1,1,38.2,38,7200000,33000,33174
2,Смоленская ул. 10,2,48.6,48,23000000,55000,55688
1,Коптевская ул. 36,2,37,37,7600000,35000,35000
2,Академика Миллионщикова ул. 31,2,51,56,11990000,40000,36429
3,Валовая ул. 8/18,2,60,56,18500000,100000,107143
2,Малахитовая ул. 6к2,2,47.4,48,10000000,47000,46413
1,Онежская ул. 12,1,25,30,5500000,28000,23333
2,Ходынская ул. 2,1,42.7,42,12997000,100000,101667
2,Сходненская ул. 31,2,45,45,7700000,40000,40000
2,Новгородская ул. 27,2,53.4,56,9700000,36000,34329
2,Саранская ул. 7,2,51,51,10000000,35000,35000
1,Авангардная ул. 16,1,36,40,7250000,40000,36000
3,Пятницкое ш. 14,3,75,70,12000000,50000,53571
4,Раменки ул. 20,2,87,85,35000000,85000,87000
2,Байкальская ул. 15,2,45,54,7000000,45000,37500
1,Авиационная ул. 68,1,31.2,35,7000000,32000,28526
3,800-летия Москвы ул. 12,3,75,75,12400000,45000,45000
2,Защитников Москвы пр-кт 7к2,1,41,37,6450000,23000,25486
1,Вешняковская ул. 37,1,35.8,35,6500000,25000,25571
2,Учинская ул. 3к1,2,56,56,10700000,38000,38000
3,Изюмская ул. 46,2,61.6,62,11500000,46000,45703
1,Изюмская ул. 57к1,1,38,38,7000000,28000,28000
1,Вяземская ул. 12к1,1,37.8,40,7800000,32000,30240
3,Ягодная ул. 6,3,75.7,77,12950000,45000,44240
1,Вешняковская ул. 37,1,35,35,5800000,25000,25000
3,Римского-Корсакова ул. 1,3,71.7,71,11800000,55000,55542
2,Ходынская ул. 2,1,43.5,42,14300000,100000,103571
2,Каспийская ул. 20к3,2,44.4,47,7200000,42000,39677
2,Ращупкина ул. 6,2,45.2,45,9190000,35000,35156
1,Сходненская ул. 6к1,1,38,36,8900000,37000,39056
2,Смоленская ул. 10,2,48,48,23000000,55000,55000
2,Полбина ул. 60,2,44,45,6990000,36000,35200
2,Ходынская ул. 2,1,44.8,42,16280000,100000,106667
2,Старокаширское ш. 4к1,2,53,54,11300000,36000,35333
2,Боровское ш. 2к5,1,46,43,9100000,37000,39581
2,Покровская ул. 23,2,52.3,54,9100000,35000,33898
1,Изюмская ул. 57к1,1,38,38,6800000,28000,28000
1,Пятницкое ш. 16,1,38,40,6100000,32000,30400
3,Изюмская ул. 46,2,61.6,64,11500000,38000,36575
1,Авангардная ул. 16,1,36,40,6950000,40000,36000
1,Донецкая ул. 19,1,39,42,6400000,26000,24143
3,Академика Пилюгина ул. 4,2,70.8,78,20500000,65000,59000
2,Курганская ул. 10,2,52,52,8300000,35000,35000
3,Южнобутовская ул. 61,2,78.8,70,11500000,50000,56286
2,Нелидовская ул. 25,2,56.1,48,8400000,40000,46750
2,Воронежская ул. 48к1,1,40,40,7100000,32000,32000
2,Симоновский Вал ул. 15,2,46.3,45,10150000,55000,56589
2,Саратовская ул. 22,1,41.7,42,7800000,29000,28793
2,Ходынская ул. 2,1,49,42,24000000,100000,116667
1,Перерва ул. 12,1,39,40,7250000,33000,32175
2,Чертановская ул. 48к3,1,52.1,55,10000000,45000,42627
2,Святоозерская ул. 13,2,54,51,9150000,35000,37059
6,Красногвардейская 3-я ул. 3,3,128.2,130,36411000,120000,118338
3,Пятницкое ш. 14,3,74,70,12000000,50000,52857
1,Шепелюгинская ул. 16,1,38,35,8500000,32000,34743
2,Лукинская ул. 11,2,54,55,10450000,35000,34364
2,Фрунзенская 2-я ул. 10,2,42,45,15000000,80000,74667
4,Академика Анохина ул. 56,3,88.3,95,19400000,80000,74358
2,Степана Супруна ул. 4,2,59,62,15100000,43000,40919
2,Новгородская ул. 27,2,53.4,54,9700000,40000,39556
2,Симоновский Вал ул. 15,2,43,45,11300000,55000,52556
1,Халтуринская ул. 18,1,21,20,5900000,25000,26250
1,Шепелюгинская ул. 16,1,38,36,8500000,35000,36944
1,Кировоградская ул. 38К1,1,38.4,40,7900000,35000,33600
2,Ращупкина ул. 6,2,43,45,9200000,35000,33444
2,Изюмская ул. 57к1,1,40,38,6600000,28000,29474
1,Радиаторская 3-я ул. 11,1,37,38,8350000,36000,35053
1,Коптевская ул. 36,2,37,40,7600000,35000,32375
1,Авиаторов ул. 30,1,36.2,38,9450000,30000,28579
2,Фрунзенская 2-я ул. 10,2,42,45,14500000,80000,74667
1,Наташи Ковшовой ул. 17,1,38.5,37,7800000,29000,30176
4,Удальцова ул. 52,2,84,82,24400000,70000,71707
3,Валовая ул. 8/18,2,60,59,18500000,56000,56949
1,Штурвальная ул. 7к1,1,30.7,33,7300000,34000,31630
1,Халтуринская ул. 18,1,33.5,20,7500000,25000,41875
2,Ходынская ул. 2,1,45,42,17690000,100000,107143
1,Уральская ул. 7,1,35.2,38,6600000,30000,27789
2,Ярославское ш. 117,1,40,37,6100000,27000,29189
1,Донецкая ул. 19,1,39.2,42,7299000,26000,24267
2,Волков пер. 17,2,42,44,15000000,43000,41045
1,Авиационная ул. 68,1,30.1,35,7300000,32000,27520
1,Авиаторов ул. 30,1,37,38,9690000,30000,29211
2,Смоленская ул. 10,2,48.3,48,21500000,55000,55344
