Начало,Конец,Котировалось акций,Коэфф.роста с учётом инфляции
01.01.2005,01.01.2006,20,1.8239821
01.01.2006,01.01.2007,29,1.5260068
01.01.2007,01.01.2008,41,1.1484048
01.01.2008,01.01.2009,50,0.2332869
01.01.2009,01.01.2010,66,2.9166982
01.01.2010,01.01.2011,71,1.3903071
01.01.2011,01.01.2012,78,0.7217543
01.01.2012,01.01.2013,88,1.00174
01.01.2013,01.01.2014,91,0.8880297
01.01.2014,01.01.2015,96,0.8505225
01.01.2015,01.01.2016,99,1.3232167
01.01.2016,01.01.2017,104,1.5747859
01.01.2017,01.01.2018,107,1.0790341
01.01.2018,01.01.2019,111,0.9856422
01.01.2019,01.01.2020,112,1.2808158
