NUM,STOCK_NAME,AVG_RATE,AVG_AMT
1,Лензолото,1.484202,1.1784198
2,НКНХ ап,1.4172652,1.083812
3,Лензол. ап,1.3911945,1.1889236
4,Ленэнерг-п,1.3374595,1.0713838
5,Акрон,1.2983448,1.06961
6,НКНХ ао,1.2475979,1.0626074
7,Распадская,1.2466445,1.0150555
8,СевСт-ао,1.2306836,1.0833205
9,М.видео,1.2280686,1.0687097
10,ПИК ао,1.2206663,1.0175701
11,МГТС-4ап,1.2093147,1.1222769
12,Татнфт 3ап,1.2073715,1.0743624
13,МГТС-5ао,1.203142,1.0845538
14,ЧеркизГ-ао,1.1975555,1.0399082
15,ЧТПЗ ао,1.1969198,1.0248015
16,Красэсб ао,1.1965948,1.0800684
17,ГМКНорНик,1.190054,1.0741073
18,Новатэк ао,1.1891854,1.0187879
19,МРСК ЦП,1.1737741,1.0562718
20,НМТП ао,1.1681476,1.0541703
21,Сбербанк-п,1.1609637,1.0387332
22,ММК,1.1524356,1.0501024
23,Транснф ап,1.1466059,1.0265344
24,НЛМК ао,1.14222,1.0692068
25,Магнит ао,1.136251,1.0360961
26,Сургнфгз-п,1.1343703,1.0987589
27,Таттел. ао,1.1338442,1.0543303
28,Сбербанк,1.127251,1.0316399
29,Газпрнефть,1.1248392,1.0544836
30,ЛУКОЙЛ,1.1208763,1.0515784
31,Татнфт 3ао,1.1193192,1.0502372
32,Телеграф,1.1151537,1.0796397
33,Аэрофлот,1.1075109,1.0239619
34,ИРКУТ-3,1.1060891,1
35,Система ао,1.0988312,1.0262575
36,ТГК-1,1.0959634,1.0342089
37,МРСКВол,1.0945556,1.0390746
38,ИнтерРАОао,1.0930319,1.0144363
39,МРСКСиб,1.0914456,1.0065776
40,ФСК ЕЭС ао,1.0880859,1.0399031
41,Мечел ао,1.0872974,1.0037832
42,МТС-ао,1.0819358,1.0832502
43,ОГК-2 ао,1.0752432,1.0244807
44,Роснефть,1.073567,1.032761
45,ЛСР ао,1.0655194,1.0590179
46,ГАЗПРОМ ао,1.0629893,1.0450984
47,БСП ао,1.0614304,1.0236812
48,ИркЭнерго,1.0445977,1.0168876
49,+МосЭнерго,1.0420203,1.0353391
50,КАМАЗ,1.0373972,1.0045202
51,МРСК Центр,1.0300225,1.0432609
52,МОЭСК,1.0282742,1.0447473
53,МРСК Ур,1.0247,1.0353206
54,Сургнфгз,1.0226034,1.0178596
55,Ростел -ап,1.017241,1.0552594
56,АстрЭнСб,1.0152006,1
57,ТМК ао,1.0150813,1.0485999
58,Кубанэнр,1.0002975,1
59,СОЛЛЕРС,.9962732,1.0114955
60,ВХЗ-ао,.986658,1
61,Возрожд-п,.9858724,1
62,Мегион-ап,.9833279,1
63,РусГидро,.9741143,1.0306265
64,ВТБ ао,.9649907,1.0209376
65,Ленэнерго,.9534586,1.0120315
66,Ростел -ао,.9426919,1.0389532
67,МРСК СК,.9425395,1.0143769
68,МРСК СЗ,.9325374,1.0203452
69,Мегион-ао,.9241096,1
70,МРСКЮга ао,.9137153,1.0200279
71,Возрожд-ао,.9064913,1
